Name,City,Street,Housenumber,State,Postcode,Latitude,Longitude,Emergency,Speciality,Phone,Website
Srinivasa Nursing Home,N/A,N/A,N/A,N/A,N/A,12.9423039,77.6174893,N/A,N/A,N/A,N/A
Kangila Clinic,N/A,N/A,N/A,N/A,N/A,12.9336501,77.5660602,yes,N/A,N/A,N/A
"Vasan Eye Care Hospital, Koramangala",N/A,N/A,N/A,Karnataka,560095,12.9402371,77.6253403,yes,N/A,N/A,http://www.vasaneye.in/
Asha Clinic,N/A,13th cross,N/A,N/A,N/A,12.9158901,77.6506948,N/A,N/A,N/A,N/A
health nest,N/A,N/A,N/A,N/A,N/A,12.9075992,77.6488507,N/A,N/A,N/A,N/A
Amma's ENT Clinic,N/A,N/A,N/A,N/A,N/A,13.0281613,77.5793947,N/A,N/A,N/A,N/A
Krishna Specialty Clinic,N/A,N/A,N/A,N/A,N/A,13.026721,77.5789272,N/A,N/A,N/A,N/A
Seventh Day Adventist Hospital,Bengaluru,Saunders Road,N/A,N/A,560005,12.995625,77.6113272,N/A,N/A,N/A,N/A
Srinivasa Nursing Home,N/A,N/A,N/A,N/A,N/A,12.9965077,77.6220456,N/A,N/A,N/A,N/A
Kids Care Clinic,N/A,N/A,N/A,N/A,N/A,12.914434,77.6050207,N/A,N/A,N/A,N/A
Pristine Health care,N/A,N/A,N/A,N/A,N/A,12.9382768,77.6186753,yes,N/A,N/A,N/A
Prerana Dental Clinic,N/A,N/A,N/A,N/A,N/A,12.9186845,77.630774,N/A,N/A,N/A,N/A
Mamtha Health Center,N/A,N/A,N/A,N/A,N/A,12.9180492,77.6318764,N/A,N/A,N/A,N/A
Suprabha Hospital,N/A,N/A,N/A,N/A,N/A,13.0079383,77.5469059,N/A,N/A,N/A,N/A
Sangolli Nursing Home,N/A,N/A,N/A,N/A,N/A,13.0083564,77.5469273,N/A,N/A,N/A,N/A
Diacon Hospital,N/A,N/A,N/A,Karnataka,560010,13.0037682,77.5498337,N/A,N/A,N/A,N/A
Agarwal Eye Hospital,N/A,N/A,N/A,N/A,N/A,12.9273417,77.6221301,N/A,N/A,N/A,N/A
Sagar Dental Clinic,N/A,N/A,N/A,N/A,N/A,12.9168875,77.6300639,N/A,N/A,N/A,N/A
Venkateshwara Hospital,N/A,Hosur road,N/A,N/A,N/A,12.9257842,77.6170828,N/A,N/A,N/A,N/A
Namratha Hospital,N/A,N/A,N/A,N/A,N/A,13.0047859,77.543073,N/A,N/A,N/A,N/A
Devi Eye Hospital,N/A,N/A,N/A,N/A,N/A,12.9162576,77.6374069,N/A,N/A,N/A,N/A
Mysore Hospital,N/A,N/A,N/A,Karnataka,560022,13.0275337,77.5397051,N/A,N/A,N/A,N/A
Jayanagar Orthopaedic Centre,N/A,N/A,N/A,Karnataka,560041,12.9293288,77.5877091,no,N/A,N/A,N/A
Shekar Hospital,N/A,Shyamaraja Iyengar Road,N/A,Karnataka,560019,12.9458714,77.5675192,no,N/A,N/A,N/A
Punya Hospital,N/A,N/A,N/A,N/A,N/A,13.0011459,77.5359798,yes,N/A,N/A,N/A
Vasan Eye Care,N/A,Hosur road,N/A,N/A,N/A,12.9102705,77.6265538,N/A,N/A,N/A,N/A
Parimala Clinic,N/A,Ayodhyarama Road,N/A,N/A,N/A,12.9135707,77.5788941,N/A,N/A,N/A,N/A
Karanth Speciality Hospital,N/A,N/A,N/A,Karnataka,560068,12.9160081,77.6193573,yes,N/A,N/A,N/A
Gangothri Hospital,N/A,Outer Ring Road,N/A,Karnataka,560076,12.9162878,77.6138218,yes,N/A,N/A,N/A
Vignan Hospital,N/A,N/A,N/A,N/A,N/A,12.9438988,77.5968766,N/A,N/A,N/A,https://bidsinstitution.com/
Spurthy Hospital,N/A,N/A,N/A,Karnataka,560029,12.9239335,77.61116,N/A,N/A,N/A,N/A
Prasad Eye Hospital,N/A,N/A,N/A,N/A,N/A,12.9351929,77.6086817,N/A,N/A,N/A,N/A
NIMHANS Screening block,N/A,N/A,N/A,N/A,N/A,12.9387115,77.5937737,no,N/A,N/A,N/A
NIMHANS OPD,N/A,N/A,N/A,N/A,N/A,12.9388056,77.5942994,N/A,N/A,N/A,N/A
Manjunath Hospital,N/A,N/A,N/A,Karnataka,560027,12.9483598,77.5940621,N/A,N/A,N/A,N/A
Karthik Hospital,N/A,8th Cross,N/A,N/A,N/A,12.9484356,77.5942592,N/A,N/A,N/A,N/A
Aswad Hospital,N/A,Hosur road,N/A,Karnataka,560068,12.9147871,77.6247622,N/A,N/A,N/A,N/A
TSR heart care,N/A,N/A,N/A,N/A,N/A,13.0264438,77.5933686,N/A,N/A,N/A,N/A
Fortis Hospital,N/A,N/A,N/A,Karnataka,560086,13.0022409,77.5490879,N/A,N/A,N/A,N/A
Citi Hospital,Bangalore,Chord Road,25/91,Karnataka,560010,12.9956506,77.5510696,N/A,N/A,+(91)-80-23131778,N/A
"Vasan Eye Care Hospital, Rajaji Nagar",Bengaluru,19th Cross Road,46,Karnataka,560010,12.9995223,77.5505328,N/A,N/A,N/A,N/A
Ananya Hospital,N/A,N/A,N/A,Karnataka,560010,12.9998205,77.55045,N/A,Cardiology;Cosmetology;Dermatology;Diabetology;Emergency Medicine;ENT;Gastroenterology;General Medicine;General Surgery;Internal Medicine;Laparoscopic Surgery;Medical Oncology;Nephrology;Obesity;Obstetricsand Gynaecology,N/A,www.ananyahospital.org
Baptist,N/A,N/A,N/A,N/A,N/A,12.9970915,77.5719766,N/A,N/A,N/A,N/A
Shivakrupa Hospital,N/A,N/A,N/A,N/A,N/A,12.973967,77.5479135,N/A,N/A,N/A,N/A
Dr. Ambedkar Medical College Hospital,N/A,N/A,N/A,N/A,N/A,13.0248621,77.6139585,yes,N/A,N/A,N/A
"Sri Maruthi hospital, Sheshadripuram",bangalore,"Link Rd, Malleswaram, Jai Bheema Nagar, Seshadripuram",67,Karnataka,560020,12.9926441,77.5742046,N/A,N/A,080 2344 9632,N/A
Sunny Medicals Hospital Clinic,N/A,N/A,N/A,N/A,N/A,12.9267954,77.6699091,yes,N/A,N/A,N/A
Karunya Homoeopathy Centre,N/A,N/A,N/A,N/A,N/A,13.0307899,77.653594,no,N/A,N/A,N/A
Ayur Seva Hospital,N/A,N/A,N/A,N/A,N/A,13.0148188,77.6653699,N/A,N/A,N/A,N/A
Vinayaka Specialty Hospital,N/A,N/A,N/A,N/A,N/A,12.8990004,77.6218548,no,N/A,N/A,N/A
Gurushree Hitech Multispeciality Hospital,N/A,N/A,N/A,Karnataka,560048,12.9593144,77.5265054,yes,N/A,N/A,N/A
"Shobha Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560040,12.9755854,77.5313495,no,N/A,N/A,N/A
"Gayathri Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560040,12.9744053,77.5426819,yes,N/A,N/A,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
Bharathy Hospital,N/A,N/A,N/A,Karnataka,560079,12.9761294,77.5326369,N/A,N/A,N/A,N/A
Yogananda Medical and Research Centre,N/A,N/A,N/A,Karnataka,560070,12.9202791,77.5598033,yes,N/A,N/A,N/A
Cure & Care Dental Clinic Dr. Moumita Mukherjee,N/A,N/A,N/A,N/A,N/A,12.9074968,77.6492213,N/A,N/A,N/A,N/A
Shirdi Sai Hospital,N/A,N/A,N/A,Karnataka,560054,13.0372438,77.5648754,yes,N/A,N/A,http://shirdisaihospital.in/
Nayantara Opticals,N/A,N/A,N/A,N/A,N/A,12.8924828,77.6198497,no,N/A,N/A,N/A
Kottakkal Arya Vaidya Sala,N/A,N/A,N/A,N/A,N/A,12.9411061,77.5850591,no,N/A,N/A,N/A
"Charan Homeopathy, Ramamurthy Nagar",N/A,N/A,N/A,N/A,N/A,13.0100409,77.6674667,N/A,N/A,N/A,N/A
Rainbow Clinic and Diagnostic Laboratory,N/A,N/A,N/A,N/A,N/A,12.891484,77.5816961,yes,N/A,N/A,N/A
Cloud Nine Hospital,Bangalore,"11th Main Road,17th Cross",N/A,N/A,N/A,13.0078742,77.5625316,N/A,N/A,9972999729,N/A
"Nayak Hospital, Gayathri Nagar",N/A,N/A,N/A,Karnataka,560021,12.9993857,77.5606403,yes,N/A,N/A,N/A
"Maharaja Agrasen Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560070,12.915903,77.5550223,yes,N/A,N/A,N/A
Banashankari Referral Hospital,N/A,N/A,N/A,Karnataka,560070,12.9231342,77.5642974,N/A,N/A,N/A,N/A
Bangalore Kidney Foundation - NU Hospital,N/A,N/A,N/A,N/A,N/A,12.9179548,77.555816,N/A,N/A,N/A,N/A
"Panacea Hospital, Nagarabhavi",N/A,N/A,N/A,Karnataka,560072,12.9613237,77.511726,N/A,N/A,N/A,http://www.panaceahospital.com/
Shanbhag Hospital,N/A,N/A,N/A,Karnataka,560079,12.9856882,77.5435424,N/A,N/A,N/A,http://snsvo7.seekandsource.com/shanbhag/
Trupti Nursing Home,N/A,N/A,N/A,Karnataka,560079,12.9946566,77.5397544,N/A,N/A,N/A,N/A
Srivijaya Speciality Hospital,N/A,N/A,N/A,Karnataka,560043,13.0124345,77.6580271,N/A,N/A,N/A,N/A
Magnus Diagnostic Lab,N/A,N/A,N/A,N/A,N/A,12.9349187,77.6305022,no,N/A,N/A,N/A
Krupa Medical center,N/A,N/A,N/A,N/A,N/A,13.000431,77.5411664,no,N/A,N/A,N/A
Greenview Medical Center,Bengaluru,"14th Main Rd, opposite Agara Lake, Sector 5, 1st Sector, HSR Layout",N/A,N/A,560102,12.9191813,77.6381379,yes,N/A,N/A,N/A
Vaidyaratnam Oushadhasala,N/A,N/A,N/A,N/A,N/A,12.9121004,77.6485848,no,N/A,N/A,https://www.vaidyaratnammooss.com/
Blossoms Hospital,N/A,N/A,N/A,N/A,N/A,12.9064393,77.6308237,yes,N/A,N/A,N/A
Happy Tooth,Bangalore,Vijayanagar Water Tank Road,N/A,N/A,560040,12.9744193,77.5336479,no,N/A,N/A,N/A
Rishi Women and Child Clinic,Bangalore,Vijayanagar Water Tank Road,N/A,N/A,560040,12.9745812,77.532699,N/A,N/A,N/A,N/A
Penta Care Ayurvedic Hospital,Bangalore,Vijayanagar Water Tank Road,N/A,N/A,560040,12.9736894,77.5369482,N/A,N/A,N/A,N/A
Shalini Nursing & MAternity Home,Bangalore,6th Main Road,63,N/A,560085,12.9436624,77.5419997,N/A,N/A,N/A,N/A
Shreya Poly Clinic,Bangalore,6th Main,N/A,N/A,560040,12.9729127,77.5394723,N/A,N/A,N/A,N/A
Anurag Medical Center,Bangalore,4th Main Road,N/A,N/A,N/A,12.9612829,77.5271683,no,N/A,N/A,N/A
United Medical lab,N/A,N/A,N/A,N/A,N/A,13.0007683,77.6132902,N/A,N/A,N/A,N/A
Pragathi Ayurvedic Center,N/A,N/A,N/A,N/A,N/A,12.9843701,77.555666,N/A,N/A,N/A,N/A
Vatsalya Chidren's Clinic,N/A,N/A,N/A,N/A,N/A,12.8948505,77.6109105,no,N/A,N/A,N/A
Kottakkal Arya Vaidya Sala,N/A,N/A,N/A,N/A,N/A,12.9002599,77.6271003,no,N/A,N/A,N/A
Sharavathi Hospitals (P) Ltd.,N/A,N/A,N/A,Karnataka,560040,12.9623406,77.5342853,N/A,N/A,N/A,N/A
"Dr.Agarwal's Eye Hospital Ltd, Padmanabha Nagar",Bangalore,N/A,N/A,Karnataka,560070,12.9169288,77.5592568,N/A,N/A,N/A,N/A
Shraddha Eye Care,N/A,N/A,N/A,Karnataka,560070,12.9184617,77.5555842,N/A,N/A,N/A,N/A
"Vasan Eye Care Hospital, Rajarajeswari Nagar",N/A,N/A,N/A,Karnataka,560098,12.931334,77.5154779,N/A,ophthalmology,N/A,http://www.vasaneye.in/
Cloud Nine Fertility,bangalore,"24th Main, 5th Phase, Opp Nandini Hotel, Puttenhalli, JP Nagar",250,N/A,560078,12.9055088,77.5858347,N/A,N/A,080 4350 0123,https://www.cloudninefertility.com/
Oncology India,N/A,N/A,N/A,N/A,N/A,12.9061749,77.5847567,N/A,N/A,N/A,N/A
Motherhood Hospital(Unit Of Rhea Healthcare Pvt Ltd),N/A,N/A,N/A,Karnataka,560038,12.9784409,77.6375845,N/A,N/A,N/A,N/A
Respiratory and womens health clinic.,N/A,N/A,N/A,N/A,N/A,12.9762645,77.6376528,N/A,N/A,N/A,N/A
Rashmi Hospital,N/A,Indiranagar Double Road (Paramahansa Yogananda road),N/A,N/A,N/A,12.9766951,77.6362278,N/A,N/A,N/A,N/A
Netradama Eye Hospital,N/A,N/A,N/A,N/A,N/A,12.9734836,77.6357281,N/A,N/A,N/A,N/A
Sree Venkateshwara Speciality Hospital,N/A,Bannerghatta Road,#1,Karnataka,560030,12.9425246,77.6025303,N/A,N/A,N/A,N/A
Leela Hospital and Diagnostic Center,N/A,N/A,N/A,Karnataka,560003,13.0002667,77.5694894,N/A,N/A,N/A,N/A
Dr. Rajkumar Blood Bank,N/A,N/A,N/A,N/A,N/A,12.968031,77.5878222,N/A,N/A,N/A,N/A
"Sri Sai Krupa Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560021,13.0294181,77.5593857,N/A,general,N/A,N/A
ALDOS Medical Service Pvt LTD,N/A,N/A,N/A,N/A,N/A,12.9826672,77.6381036,N/A,N/A,N/A,N/A
Government Hospital,N/A,N/A,N/A,N/A,N/A,12.8870605,77.603414,N/A,N/A,N/A,N/A
Rajashree Granthim hospital,N/A,N/A,N/A,N/A,N/A,12.8893134,77.602422,N/A,N/A,N/A,N/A
Krishna Nursing Home,N/A,N/A,N/A,N/A,N/A,12.9474222,77.5986921,N/A,N/A,N/A,N/A
"Shifa Hospital, Bengaluru Urban",N/A,Queen's Road,N/A,Karnataka,N/A,12.9900105,77.5988107,N/A,N/A,N/A,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
Milann Fertility Center,N/A,N/A,N/A,Karnataka,560041,12.9159249,77.5856011,N/A,fertility,N/A,N/A
Gift IVF center,N/A,N/A,N/A,N/A,N/A,12.962951,77.6418711,N/A,N/A,N/A,N/A
HCG Cancer Hospital,Bengaluru,N/A,N/A,Karnataka,560027,12.9603157,77.5930493,N/A,N/A,N/A,https://www.hcgoncology.com/
Health Care Global,N/A,N/A,N/A,N/A,N/A,12.9584755,77.5919279,N/A,N/A,N/A,N/A
Gulecha Dental Care,Bangalore,"4th Cross Road, KV Layout, Jayanagar 4th Block",32/29,N/A,560011,12.9292418,77.5893625,N/A,dental_oral_maxillo_facial_surgery,N/A,https://www.gulechadental.com/
Unknown Hospital,N/A,8th cross,N/A,N/A,N/A,12.9767055,77.5424167,N/A,N/A,N/A,N/A
Rajbal Skin Clinic,Bangalore,"4th B cross, 7th C Main",N/A,N/A,560043,13.0206063,77.6445361,no,N/A,N/A,N/A
Prashanth Hospital,N/A,N/A,N/A,Karnataka,560068,12.9066637,77.6287463,N/A,N/A,N/A,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
Dianova Diabetes Center and Hospital,N/A,N/A,N/A,N/A,N/A,13.0147612,77.6335463,N/A,N/A,N/A,N/A
Ameena Medical centre,N/A,18th Cross Road,111(3/1),N/A,N/A,12.9777082,77.6323407,N/A,N/A,N/A,N/A
Dr.Agarwal Eye & Dental Hospital,N/A,N/A,N/A,N/A,N/A,12.9700356,77.6362439,N/A,N/A,N/A,N/A
Dr Raos Maternity Hospital,N/A,N/A,N/A,Karnataka,560079,12.9850421,77.5460481,N/A,N/A,N/A,N/A
Sagar Chandramma Hospitals,N/A,N/A,N/A,N/A,N/A,12.9485535,77.5748248,N/A,gynaecology,N/A,N/A
Specialist Hospital,N/A,N/A,N/A,Karnataka,560043,13.0169826,77.6432959,N/A,N/A,N/A,N/A
Vignesh Lab and Diagnostics,N/A,N/A,N/A,N/A,N/A,13.0267226,77.6041132,N/A,N/A,N/A,N/A
Apollo Cradle,N/A,N/A,N/A,Karnataka,560095,12.9368104,77.6206345,N/A,Maternity Services; Birthing Fertility and IVF; Woman's Health; Women Health Checks; Procedures; Cancer Evaluation; Children's Health; New Born Screening; Vaccination,N/A,https://www.apollocradle.com/
Shiva Kumaraswamy Building,N/A,N/A,N/A,N/A,N/A,12.9717049,77.5493718,N/A,N/A,N/A,N/A
Kottakkal Arya Vaidya Sala,Bengaluru,"Service Rd, Agara, Iblur Village, Bellandur",N/A,N/A,560103,12.9217604,77.6618321,N/A,N/A,+91-80 6450 4434,https://aryavaidyasala.com/
Life Care Hospital,Bangaluru,"Om Complex, 20th Main, Gangotri Circle, BTM Layout, Madiwala",2324,Karnataka,560029,12.9194712,77.6130111,N/A,N/A,+91-80 2684 6677,https://lifecarehosp.com/
Bhagavathi Hospitals Private Limited,bangalore,HSR Layout Sector 6,.L-168,Tamil Nadu,625009,12.9161259,77.6311505,N/A,N/A,+91-80 4124 5860,N/A
Gunasheela Hospitals,bangalore,"Sulochana Building, 1st Cross Rd, 3rd Block, Sarjapura Main Road, Koramangala",365,N/A,560034,12.9250105,77.6278708,N/A,N/A,+91-80 - 4646 2626,http://gunasheela.co.in/
NRS Medical & Dental Specialists Centre,bangalore,"80 feet road,banashankari",5,N/A,560050,12.9151071,77.5624888,N/A,N/A,08026696054,N/A
Anurag Medical Centre,bangalore,"Main Road, Chandra Layout, Vijayanagar,",#349/352/6/1/1,N/A,560070,12.9060641,77.6049776,N/A,N/A,N/A,N/A
Sarvodaya Hospital,bangalore,Magadi Main Road,11/2,N/A,560079,12.9390944,77.5619057,N/A,N/A,098440 74946,N/A
Indianova Healthcare Pvt Ltd,Bangalore,"3rd main shridi sai baba mandir road, Cambridge layout halasuru",58/1,N/A,560008,12.9703581,77.63022,N/A,N/A,+9197390 07505,indianovahealthcare.com
Welnext,Bangalore,"Third Floor, H.S.R Agara Circle, Sarjapura, Outer Ring Rd, Agara Village, HSR Layout,",65/8,N/A,560102,12.9240063,77.6545058,N/A,N/A,+9196960 00222,https://welnext.com/
Employees State Insurance Dispensary,Bangalore,"17th Cross Rd, Service Road, Opp. Maruthi Mandir, TTMC Bus Stop, Govindaraja Nagar Ward, PF Layout, Vijayanagar",N/A,N/A,560040,12.966771,77.5349228,N/A,N/A,080 2845 2785,globalhospitalsindia.com
Dr Solankis Eye Hospital,Bangalore,", 2nd cross, Link Road, Malleswaram",191/1,Karnataka,560020,12.9951627,77.5738144,N/A,N/A,080 2356 2211,N/A
Sri Sanjeevini Cold Laser Therapy,bangalore,"3rd Flr, Srikrupa, Nxt To Adiga Hotel, 15th Crs, Sampige Mn Rd, Malleswaram",316,N/A,560003,13.0053923,77.5713352,N/A,N/A,080663 79862,N/A
Dr. Bhargavi Reddy Women & Children Hospital,bangalore,"Indiranagar 80ft Road, New Thippasandra, Hal 3rd Stage, Via Indira Nagar 80ft Road",N/A,N/A,560075,12.975403,77.6470594,N/A,N/A,080 2525 6666,https://drbhargavireddyhospital.com
Axon Speciality Hospital,BENGALURU,"6th Main Road, HAL 2nd Stage, Indira Nagar",321,N/A,560038,12.973892,77.6460904,N/A,N/A,080 4334 6333,N/A
Sanjeevini Children & Women Clinic,Bangalore,"Sultanpalya Main Road, Near-Bus Stand, R T Nagar",N/A,N/A,560032,13.0316481,77.6023154,N/A,N/A,080 2292 4422,N/A
Procare Hospital,BANGALORE,Outer Ring Road,"914, 5th A Cross Road",N/A,560043,13.0203944,77.6512682,yes,N/A,080 4162 0620,080 4162 0620
Life Care Hospital,Bangalore,Maruthi Nagar Main Road,"2324, Om Comple",N/A,560068,12.9239305,77.6132696,yes,N/A,080 2684 6677,N/A
Parimala Health Care,Bangalore,Bannerghatta Road,2nd Cross Rd,N/A,560076,12.9003193,77.6008061,yes,N/A,080 2658 3117,N/A
Unknown Hospital,Bangalore,"12th Main, HAL II Stage, Indiranagar",2989/1A,N/A,560038,12.9702741,77.6468603,N/A,N/A,080 4530 0300,https://www.nightingales.in/
Medic Star Hospital,bangalore,"AM Road, Bharati Nagar, Shivaji Nagar",N/A,Karnataka,560001,12.9876871,77.6093097,N/A,N/A,080 2554 1337,N/A
Hsis Gosha Hospital,bangalore,"Tasker Town, Near-KSPCB Limited, Shivaji Nagar, Sulthangunta, Shivaji Nagar",N/A,N/A,560051,12.9856985,77.6058578,N/A,N/A,"""080 2286 6529",N/A
Santosh Hospital,bangalore,"Promenade Road, Near Coles Park, Frazer Town",6/1,Karnataka,560005,12.9959413,77.6082575,N/A,N/A,080 2536 7706,https://santoshhealthcare.com/
Hospital,bangalore,"St Johns Church Rd, Bharati Nagar, Shivaji Nagar",N/A,N/A,560001,12.9914123,77.6117329,N/A,N/A,+9193411 44150,https://www.mirlayeyecare.com/
Keva Ayurveda Health Care Pvt Ltd,Bengaluru,"7th Cross, 35th Main, BTM 2nd Stage,, Adjacent DSR Naveen Lake View Apartments, Karnataka",N/A,N/A,560076,12.9127062,77.6201668,N/A,N/A,080508 01515,https://kevaayurveda.com/
Ayurvaid Hospital,Bengaluru,"Amarjyothi Layout, Off Intermediate Ring Road, Near Dell India/Millennium Motors, Domlur Extension, Amarjyoti Layout, Domlur, Karnataka",230,Karnataka,560071,12.9552696,77.6428508,N/A,N/A,080 4092 5555,https://ayurvaid.com/
H B S Hospital,bangalore,"Sultan Gunta,, Cock Burn Rd, Sulthangunta, Shivaji Nagar",N/A,N/A,560051,12.9891941,77.6037864,N/A,N/A,080 2554 1321,N/A
St. Martha's Heart Centre,Bangalore,"Nrupathunga Rd, RBI Colony, Sampangi Rama Nagar",5,N/A,560001,12.9705436,77.5834769,N/A,N/A,+9195380 43453,locations.narayanahealth.org
Sumathi Nursing and Maternity Home,bangalore,"#426/12, 2 Cross,Mathikere Layout,Behind Canara Bank",N/A,Karnataka,560054,13.0325717,77.5582602,N/A,N/A,+9180 2337 2762,N/A
Desai Nursing Home,Bangalore,"Kumarakrupa Road, High Grounds, Madhava Nagar, Gandhi Nagar",6/6,N/A,560001,12.9863736,77.5793154,N/A,N/A,+9180 2226 0307,N/A
